AcX = 12384 | AcY = 1080 | AcZ = -12292 | Tmp = 27.26 | GyX = 8500 | GyY = 12509 | GyZ = -5554
AcX = 17376 | AcY = 6560 | AcZ = -12116 | Tmp = 27.35 | GyX = 3250 | GyY = -13648 | GyZ = 10194
AcX = 5132 | AcY = 4784 | AcZ = -9016 | Tmp = 27.26 | GyX = 10505 | GyY = -9294 | GyZ = 6335
AcX = 552 | AcY = -728 | AcZ = -8424 | Tmp = 27.35 | GyX = 7638 | GyY = 1382 | GyZ = -7521
AcX = 7944 | AcY = -5448 | AcZ = -9468 | Tmp = 27.31 | GyX = 3183 | GyY = 13087 | GyZ = -11594
AcX = 14068 | AcY = -3916 | AcZ = -5884 | Tmp = 27.31 | GyX = 6413 | GyY = 19261 | GyZ = -9200
AcX = 19364 | AcY = 2420 | AcZ = 4324 | Tmp = 27.35 | GyX = 10194 | GyY = 12912 | GyZ = -3844
AcX = 21584 | AcY = 688 | AcZ = 4120 | Tmp = 27.31 | GyX = 8920 | GyY = 3751 | GyZ = 1168
AcX = 16992 | AcY = 380 | AcZ = 3276 | Tmp = 27.26 | GyX = -3959 | GyY = 2914 | GyZ = 3971
AcX = 19996 | AcY = 2640 | AcZ = -272 | Tmp = 27.35 | GyX = 7369 | GyY = -3996 | GyZ = -2974
AcX = 14192 | AcY = -18140 | AcZ = 3764 | Tmp = 27.35 | GyX = 3327 | GyY = 8242 | GyZ = 8758
AcX = 22856 | AcY = -18572 | AcZ = 2688 | Tmp = 27.31 | GyX = 24184 | GyY = -9093 | GyZ = 22687
